0,1,40264
1,1,135403
2,1,230542
3,1,327472
4,1,421717
5,1,522970
7,1,711759
9,1,905468
11,1,1094555
13,1,1289904
15,1,1480482
16,3,1623341
17,1,1674042
18,1,1766498
19,1,1863129
19,3,1914128
19,4,1947532
20,1,1980339
20,2,2013444
20,3,2050802
20,4,2091285
21,1,2133338
22,1,2212820
23,1,2293494
24,1,2375064
25,1,2454248
29,1,2775456
33,1,3093682
37,1,3412803
41,1,3734906
45,1,4054326
49,1,4374639
53,1,4695251
57,1,5013477
61,1,5333493
65,1,5655596
69,1,5973226
73,1,6294136
76,2,6552713
78,1,6692292
79,1,6774010
83,1,7093131
87,1,7414638
91,1,7733162
94,1,7974441
95,1,8054371
95,4,8115212
96,1,8141756
